Sample_ID,Species,Pre_treatment,Probiotic,ABTS,DPPH,FRAP,TPC,Vit_B1,Vit_B2,Beta_glucan,Texture,Delta_H,Sensory_score
S170,L_deliciosus,MB_2m,LA5,143.98,25.04,5.61,130.47,1585.05,5152.87,18.49,7.25,67.35,3.6
S171,L_deliciosus,MB_2m,LA5,129.88,27.16,5.99,134.29,1515.00,4812.00,18.46,6.77,67.26,3.6
S172,L_deliciosus,MB_2m,LA5,138.46,18.30,8.96,122.08,2359.83,5385.48,17.29,6.79,65.83,3.6
S173,L_deliciosus,MB_2m,LA5,151.33,19.61,8.74,125.13,1969.18,5141.22,16.46,7.03,65.78,3.6
S174,L_deliciosus,MB_2m,LA5,142.75,19.81,9.33,121.32,2221.00,5215.00,16.82,4.51,65.71,3.6
S175,L_deliciosus,MB_2m,PL,52.30,18.17,8.18,139.11,2025.63,5408.02,17.27,4.97,66.34,4.1
S176,L_deliciosus,MB_2m,PL,56.98,18.30,8.63,144.59,2227.10,4815.41,19.67,4.85,66.26,4.2
S177,L_deliciosus,MB_2m,PL,45.34,17.13,8.47,140.77,1970.17,4737.07,18.09,5.71,66.21,4.1
S178,L_deliciosus,MB_2m,PL,123.76,17.85,9.00,126.28,2590.66,5562.46,24.71,6.07,65.53,4.2
S179,L_deliciosus,MB_2m,PL,120.69,19.15,8.51,137.34,2351.23,6280.04,25.35,3.86,65.54,4.1
S180,L_deliciosus,MB_2m,PL,141.53,19.94,9.15,117.50,2482.11,6315.28,25.21,5.00,65.65,4.1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
